# cc-radar field sample
# firmware=v26.08.01 build=1785625163
# rtc=2026-08-01 23:50:10
# label=phone360
# uptime_ms=2962354
# compass_cal_x=-1026 compass_cal_y=-1002 compass_cal_z=0 calibrated=1
# declination_deg=12.216 declination_valid=1
# h0=unknown
# zoom=3
# accel_enabled=1 accel_addr=0x6B gyro_enabled=0
# mag_scale_lsb_per_uT=120 accel_lsb_per_g=8192 gyro_lsb_per_dps=128
# nominal_rate_hz=10
# i2c_start_ops=10805 i2c_start_fails=5
ms,mx,my,mz,cx,cy,cz,h_mag,heading_mag,heading_true,ax,ay,az,gx,gy,gz,lat,lon,speed_kn,course,hdop,sats,fix_valid,zoom,mag_overflow,accel_valid,gyro_valid
2962461,1275,-2057,-7240,2301,-1055,-7240,2531.3,335.37,347.58,184,-896,-7643,0,0,0,0,0,0.52,0.00,1.21,18,1,3,0,1,0
2962561,1292,-2067,-7240,2318,-1065,-7240,2551.0,335.32,347.54,277,-966,-7664,0,0,0,0,0,0.51,0.00,1.21,18,1,3,0,1,0
2962661,1287,-2067,-7212,2313,-1065,-7212,2546.4,335.28,347.49,208,-876,-7606,0,0,0,0,0,0.06,0.00,1.21,18,1,3,0,1,0
2962761,1250,-2040,-7255,2276,-1038,-7255,2501.5,335.48,347.70,254,-978,-7637,0,0,0,0,0,0.18,0.00,1.21,18,1,3,0,1,0
2962861,1240,-2072,-7205,2266,-1070,-7205,2505.9,334.72,346.94,263,-935,-7570,0,0,0,0,0,0.25,0.00,1.21,18,1,3,0,1,0
2962961,1325,-2057,-7245,2351,-1055,-7245,2576.9,335.83,348.05,210,-987,-7562,0,0,0,0,0,0.85,0.00,1.21,18,1,3,0,1,0
2963061,1255,-2087,-7200,2281,-1085,-7200,2525.9,334.56,346.78,213,-903,-7593,0,0,0,0,0,0.58,0.00,1.21,18,1,3,0,1,0
2963161,1297,-2057,-7207,2323,-1055,-7207,2551.3,335.57,347.79,148,-922,-7653,0,0,0,0,0,0.13,0.00,1.21,18,1,3,0,1,0
2963261,1237,-2055,-7152,2263,-1053,-7152,2496.0,335.05,347.26,126,-921,-7622,0,0,0,0,0,0.23,0.00,1.21,18,1,3,0,1,0
2963361,1232,-2117,-7227,2258,-1115,-7227,2518.3,333.72,345.94,255,-981,-7586,0,0,0,0,0,0.10,0.00,1.21,18,1,3,0,1,0
2963461,1240,-2112,-7237,2266,-1110,-7237,2523.3,333.90,346.12,288,-999,-7686,0,0,0,0,0,0.60,0.00,1.21,18,1,3,0,1,0
2963561,1232,-2107,-7250,2258,-1105,-7250,2513.9,333.92,346.14,148,-1032,-7567,0,0,0,0,0,0.60,0.00,1.21,18,1,3,0,1,0
2963661,1302,-2117,-7207,2328,-1115,-7207,2581.2,334.41,346.62,121,-935,-7568,0,0,0,0,0,0.22,0.00,1.21,18,1,3,0,1,0
2963761,1232,-2165,-7227,2258,-1163,-7227,2539.9,332.75,344.97,262,-1068,-7597,0,0,0,0,0,0.13,0.00,1.21,18,1,3,0,1,0
2963861,1265,-2207,-7237,2291,-1205,-7237,2588.6,332.26,344.47,251,-1004,-7544,0,0,0,0,0,0.13,0.00,1.21,18,1,3,0,1,0
2963961,1282,-2145,-7237,2308,-1143,-7237,2575.5,333.65,345.87,310,-1042,-7501,0,0,0,0,0,0.41,0.00,1.21,18,1,3,0,1,0
2964061,1202,-2175,-7167,2228,-1173,-7167,2517.9,332.23,344.45,187,-910,-7681,0,0,0,0,0,0.30,0.00,1.21,18,1,3,0,1,0
2964161,1227,-2185,-7172,2253,-1183,-7172,2544.7,332.30,344.51,136,-904,-7550,0,0,0,0,0,0.25,0.00,1.21,18,1,3,0,1,0
2964261,1157,-2185,-7207,2183,-1183,-7207,2482.9,331.55,343.76,142,-999,-7560,0,0,0,0,0,0.07,0.00,1.21,18,1,3,0,1,0
2964361,1185,-2175,-7232,2211,-1173,-7232,2502.9,332.05,344.27,278,-968,-7667,0,0,0,0,0,0.20,0.00,1.21,18,1,3,0,1,0
2964461,1222,-2140,-7205,2248,-1138,-7205,2519.6,333.15,345.37,269,-1058,-7387,0,0,0,0,0,0.15,0.00,1.21,18,1,3,0,1,0
2964561,1227,-2160,-7250,2253,-1158,-7250,2533.2,332.80,345.01,114,-1021,-7720,0,0,0,0,0,0.04,0.00,1.21,18,1,3,0,1,0
2964661,1217,-2150,-7180,2243,-1148,-7180,2519.7,332.90,345.11,186,-905,-7630,0,0,0,0,0,0.03,0.00,1.21,18,1,3,0,1,0
2964761,1217,-2092,-7207,2243,-1090,-7207,2493.8,334.08,346.30,231,-865,-7630,0,0,0,0,0,0.03,0.00,1.21,18,1,3,0,1,0
2964861,1245,-2140,-7190,2271,-1138,-7190,2540.2,333.38,345.60,273,-979,-7586,0,0,0,0,0,0.24,0.00,1.21,18,1,3,0,1,0
2964961,1227,-2190,-7227,2253,-1188,-7227,2547.0,332.20,344.41,317,-1092,-7581,0,0,0,0,0,0.08,0.00,1.21,18,1,3,0,1,0
2965061,1185,-2212,-7172,2211,-1210,-7172,2520.4,331.31,343.53,7,-848,-7622,0,0,0,0,0,0.26,0.00,1.23,17,1,3,0,1,0
2965161,1255,-2222,-7217,2281,-1220,-7217,2586.8,331.86,344.08,181,-1025,-7648,0,0,0,0,0,0.10,0.00,1.23,17,1,3,0,1,0
2965261,1170,-2237,-7190,2196,-1235,-7190,2519.5,330.65,342.86,198,-997,-7542,0,0,0,0,0,0.38,0.00,1.23,17,1,3,0,1,0
2965361,1255,-2265,-7195,2281,-1263,-7195,2607.3,331.03,343.24,278,-1046,-7624,0,0,0,0,0,0.12,0.00,1.23,17,1,3,0,1,0
2965461,1165,-2237,-7227,2191,-1235,-7227,2515.1,330.59,342.81,249,-1014,-7654,0,0,0,0,0,0.24,0.00,1.21,18,1,3,0,1,0
2965561,1200,-2262,-7207,2226,-1260,-7207,2557.9,330.49,342.70,217,-1052,-7458,0,0,0,0,0,0.22,0.00,1.21,18,1,3,0,1,0
2965661,1162,-2285,-7167,2188,-1283,-7167,2536.4,329.61,341.83,211,-972,-7629,0,0,0,0,0,0.11,0.00,1.21,18,1,3,0,1,0
2965761,1170,-2320,-7222,2196,-1318,-7222,2561.2,329.03,341.24,169,-1027,-7566,0,0,0,0,0,0.10,0.00,1.21,18,1,3,0,1,0
2965861,1142,-2357,-7217,2168,-1355,-7217,2556.6,327.99,340.21,231,-1114,-7495,0,0,0,0,0,0.31,0.00,1.21,18,1,3,0,1,0
2965961,1052,-2352,-7237,2078,-1350,-7237,2478.0,326.99,339.21,268,-1049,-7578,0,0,0,0,0,0.18,0.00,1.21,18,1,3,0,1,0
